"gene_id","CoD1","CoD2","CoD3","CoN1","CoN2","CoN3","FeD1","FeD2","FeD3","FeN1","FeN2","FeN3","PhD1","PhD2","PhD3","PhN1","PhN2","PhN3","ReD1","ReD2","ReD3","ReN1","ReN2","ReN3"
"1_11",10,57,28,60,54,45,6,32,19,57,59,49,62,193,200,26,136,105,12,126,25,40,49,24
"1_12",79,65,81,25,18,19,60,44,51,13,8,5,157,313,334,31,47,46,39,103,22,29,23,9
"1_15",110,177,61,82,58,50,118,65,52,61,57,36,707,388,468,94,225,329,115,810,184,110,80,55
"10_13",49,146,68,291,358,373,7,66,56,352,310,230,176,621,382,108,430,226,20,213,60,164,373,258
"10_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10_21",12,24,17,205,179,176,1,23,14,320,213,237,98,213,160,56,186,125,25,141,37,142,280,193
"10_29",2,19,19,8,13,9,0,21,6,7,6,12,31,38,21,0,11,14,1,32,14,8,6,6
"10_33",3168,28429,10920,4547,4719,2910,3114,31581,12446,4065,3580,3319,14894,17073,7977,788,1763,672,6915,48525,14213,2268,4516,2918
"10_35",11,28,25,45,34,70,16,15,17,36,30,34,72,150,73,29,95,43,21,41,16,34,118,53
"10_36",1086,1466,1292,1464,1319,1739,732,779,878,1294,1116,1160,1653,2012,1638,1028,1277,917,816,1044,716,1305,2302,1555
"10_50",38,82,54,1532,1271,1369,21,84,44,1050,915,691,312,252,318,1099,2325,1738,118,293,83,2326,2288,1203
"10_52",43,90,53,337,347,327,47,122,84,310,321,268,269,387,294,271,718,402,153,275,108,430,809,497
"10_59",0,7,4,10,8,9,1,11,6,14,16,18,21,21,7,10,21,8,7,15,1,10,22,11
"10_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10_65",0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"10_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10_7",2,24,7,40,24,18,6,28,15,25,27,16,61,124,76,6,42,14,9,39,11,25,30,22
"10_81",21,46,21,98,50,59,6,66,16,55,45,60,195,139,127,109,268,221,102,100,74,152,157,73
"10_83",47,160,87,918,957,587,34,183,106,157,119,135,109,342,204,115,454,145,39,343,87,182,192,143
"10_84",1392,1473,1510,800,850,645,804,1537,1204,470,515,435,2903,3941,3162,689,1502,1027,1305,2850,1182,1434,1441,729
"10_88",2,7,3,8,6,12,1,2,4,5,1,2,7,15,15,8,10,18,2,7,7,2,12,0
"100_2",38,124,40,364,454,507,6,85,48,465,862,607,137,410,307,195,544,410,43,167,42,371,894,532
