gene_id,CoD1,CoD2,CoD3,CoN1,CoN2,CoN3,FeD1,FeD2,FeD3,FeN1,FeN2,FeN3,PhD1,PhD2,PhD3,PhN1,PhN2,PhN3,ReD1,ReD2,ReD3,ReN1,ReN2,ReN3
IsiA,81241,92588,89292,15601,15065,22773,68445,66214,81464,16938,15435,14985,4409,27687,18934,1539,10233,8333,2510,20437,11926,1318,8408,1435
IsiA,94245,99025,97669,16769,16207,25113,76451,66572,87730,20832,16137,16460,5656,35527,23296,1821,11716,9306,2552,16953,12119,1359,9207,1488
IsiA,55225,59989,54490,12955,12834,19910,51964,53833,64288,16957,16139,16993,1466,21642,18804,417,6951,5787,540,15116,7564,248,6269,745
K00003,1257,1361,1344,4087,4379,4659,1415,1425,1218,4659,4303,3763,5421,3803,4031,4451,8308,6687,1845,1901,1436,7678,12438,5616
K00004,53,61,39,126,110,75,43,64,53,115,111,92,165,141,130,74,128,101,80,72,47,114,195,98
K00005,752,1143,978,685,650,727,759,1324,868,438,446,413,1542,1796,1849,863,1490,1329,1081,1535,765,1662,1215,737
K00010,98,152,101,389,383,324,159,327,232,471,630,398,500,912,890,441,1091,885,382,685,296,910,1085,470
K00010,109,256,186,824,790,732,124,619,236,1012,1174,784,641,1065,995,1097,2451,2039,423,1161,402,3375,3635,1993
K00011,262,457,418,336,332,419,123,244,209,270,201,189,658,2045,1499,280,583,365,164,441,154,432,540,350
K00012,14892,11297,12256,2395,1894,3093,9714,6844,10892,2263,2089,2353,11885,11874,10399,1186,2106,1358,8091,8880,8034,1977,3451,1931
K00013,1871,2846,2436,1582,1437,1446,2016,4154,2890,1257,1449,1030,9410,6943,6268,2594,5147,4400,3857,4666,2654,6153,4028,2411
K00013,856,946,1005,695,605,800,481,931,561,599,609,547,2730,1828,2057,1277,1580,1670,1017,1408,719,2026,2551,1410
K00014,33,61,60,129,140,171,26,57,34,221,209,192,105,226,150,169,214,162,79,115,64,428,376,250
K00020,120,447,293,641,525,694,57,170,121,401,312,333,965,1980,1881,323,910,597,200,559,229,289,627,255
K00024,3959,5450,4620,7195,6531,7136,4825,11653,5883,8501,7614,8329,13865,8064,7137,7200,11277,11194,9528,13613,6515,23929,20892,10491
K00027,182,622,382,2195,1932,2432,154,868,291,1472,1114,1068,906,2565,1910,3219,4780,3245,632,1252,481,2858,2616,1735
K00031,328,853,524,2263,2195,2604,260,1095,485,1823,1651,1572,674,1393,914,1536,2966,2972,726,2129,934,2463,2628,1976
K00033,7557,75639,33874,176853,184126,194184,6625,60139,22150,130688,130490,97761,27904,130388,71240,144806,355444,280205,29095,78757,23680,267405,210358,121087
K00036,1894,10769,6828,17151,17249,19429,1781,7157,3451,16497,13883,9683,4653,16603,8373,17993,18389,23747,2681,4204,3400,23595,18722,19251
