geneid,counts,Diel,Treatment,Stressor,count_adj
pstS,74152.55023,Day,Co-lim,P,74.15255023
pstS,29077.29289,Day,Co-lim,P,29.07729289
pstS,43666.44617,Day,Co-lim,P,43.66644617
pstS,52824.83663,Night,Co-lim,P,52.82483663
pstS,44116.18677,Night,Co-lim,P,44.11618677
pstS,60580.63856,Night,Co-lim,P,60.58063856
pstS,3056.114779,Day,Fe-lim,P,3.056114779
pstS,1044.497472,Day,Fe-lim,P,1.044497472
pstS,3002.168197,Day,Fe-lim,P,3.002168197
pstS,817.9507722,Night,Fe-lim,P,0.817950772
pstS,712.2350575,Night,Fe-lim,P,0.712235058
pstS,673.8690552,Night,Fe-lim,P,0.673869055
pstS,44792.51859,Day,P-lim,P,44.79251859
pstS,30921.50848,Day,P-lim,P,30.92150848
pstS,34273.38761,Day,P-lim,P,34.27338761
pstS,56052.92494,Night,P-lim,P,56.05292494
pstS,64400.39843,Night,P-lim,P,64.40039843
pstS,66050.99068,Night,P-lim,P,66.05099068
pstS,1268.80549,Day,Replete,P,1.26880549
pstS,1195.029669,Day,Replete,P,1.195029669
pstS,1632.873294,Day,Replete,P,1.632873294
pstS,1299.669045,Night,Replete,P,1.299669045
pstS,853.8646964,Night,Replete,P,0.853864696
pstS,865.3450667,Night,Replete,P,0.865345067
phoA/B,46152.52904,Day,Co-lim,P,46.15252904
phoA/B,10590.2119,Day,Co-lim,P,10.5902119
phoA/B,26294.45317,Day,Co-lim,P,26.29445317
phoA/B,2560.843264,Night,Co-lim,P,2.560843264
phoA/B,1907.075337,Night,Co-lim,P,1.907075337
phoA/B,3026.497992,Night,Co-lim,P,3.026497992
phoA/B,471.2376531,Day,Fe-lim,P,0.471237653
phoA/B,299.090286,Day,Fe-lim,P,0.299090286
phoA/B,239.9692267,Day,Fe-lim,P,0.239969227
phoA/B,90.77258569,Night,Fe-lim,P,0.090772586
phoA/B,112.8395658,Night,Fe-lim,P,0.112839566
phoA/B,124.4583446,Night,Fe-lim,P,0.124458345
phoA/B,26497.4227,Day,P-lim,P,26.4974227
phoA/B,7977.340619,Day,P-lim,P,7.977340619
phoA/B,10485.21049,Day,P-lim,P,10.48521049
phoA/B,4035.188621,Night,P-lim,P,4.035188621
phoA/B,2167.699001,Night,P-lim,P,2.167699001
phoA/B,4031.25978,Night,P-lim,P,4.03125978
phoA/B,287.7529691,Day,Replete,P,0.287752969
phoA/B,244.3040949,Day,Replete,P,0.244304095
phoA/B,505.379267,Day,Replete,P,0.505379267
phoA/B,89.21396518,Night,Replete,P,0.089213965
phoA/B,98.17322982,Night,Replete,P,0.09817323
phoA/B,106.9305117,Night,Replete,P,0.106930512
isiA,525666.278,Day,Co-lim,F,525.666278
isiA,251821.0466,Day,Co-lim,Fe,251.8210466
isiA,371950.4372,Day,Co-lim,Fe,371.9504372
isiA,40898.59794,Night,Co-lim,Fe,40.89859794
isiA,41868.32495,Night,Co-lim,Fe,41.86832495
isiA,60277.4553,Night,Co-lim,Fe,60.2774553
isiA,682116.5028,Day,Fe-lim,Fe,682.1165028
isiA,216340.8142,Day,Fe-lim,Fe,216.3408142
isiA,397365.2126,Day,Fe-lim,Fe,397.3652126
isiA,54590.23404,Night,Fe-lim,Fe,54.59023404
isiA,49391.63783,Night,Fe-lim,Fe,49.39163783
isiA,54310.93061,Night,Fe-lim,Fe,54.31093061
isiA,7662.105502,Day,P-lim,Fe,7.662105502
isiA,34739.05448,Day,P-lim,Fe,34.73905448
isiA,31285.96123,Day,P-lim,Fe,31.28596123
isiA,4813.931593,Night,P-lim,Fe,4.813931593
isiA,16826.88722,Night,P-lim,Fe,16.82688722
isiA,17747.84657,Night,P-lim,Fe,17.74784657
isiA,9426.85458,Day,Replete,Fe,9.42685458
isiA,30909.47182,Day,Replete,Fe,30.90947182
isiA,44998.68522,Day,Replete,Fe,44.99868522
isiA,2087.606785,Night,Replete,Fe,2.087606785
isiA,14473.88531,Night,Replete,Fe,14.47388531
isiA,3631.677008,Night,Replete,Fe,3.631677008
isiB,287551.0355,Day,Co-lim,Fe,287.5510355
isiB,179880.4691,Day,Co-lim,Fe,179.8804691
isiB,183387.9825,Day,Co-lim,Fe,183.3879825
isiB,320304.8253,Night,Co-lim,Fe,320.3048253
isiB,398389.8415,Night,Co-lim,Fe,398.3898415
isiB,370947.8298,Night,Co-lim,Fe,370.9478298
isiB,333618.9335,Day,Fe-lim,Fe,333.6189335
isiB,195050.9185,Day,Fe-lim,Fe,195.0509185
isiB,297868.1847,Day,Fe-lim,Fe,297.8681847
isiB,478978.0072,Night,Fe-lim,Fe,478.9780072
isiB,544949.8836,Night,Fe-lim,Fe,544.9498836
isiB,540949.7856,Night,Fe-lim,Fe,540.9497856
isiB,7900.653406,Day,P-lim,Fe,7.900653406
isiB,44886.56253,Day,P-lim,Fe,44.88656253
isiB,28773.20142,Day,P-lim,Fe,28.77320142
isiB,107427.0194,Night,P-lim,Fe,107.4270194
isiB,131730.0726,Night,P-lim,Fe,131.7300726
isiB,136067.3288,Night,P-lim,Fe,136.0673288
isiB,14927.81631,Day,Replete,Fe,14.92781631
isiB,77422.61676,Day,Replete,Fe,77.42261676
isiB,42739.42635,Day,Replete,Fe,42.73942635
isiB,176007.7339,Night,Replete,Fe,176.0077339
isiB,225728.1317,Night,Replete,Fe,225.7281317
isiB,171558.1248,Night,Replete,Fe,171.5581248
