"","ontology"
"GO:0000001","BP"
"GO:0000002","BP"
"GO:0000003","BP"
"GO:0000006","MF"
"GO:0000007","MF"
"GO:0000009","MF"
"GO:0000010","MF"
"GO:0000011","BP"
"GO:0000012","BP"
"GO:0000014","MF"
"GO:0000015","CC"
"GO:0000016","MF"
"GO:0000017","BP"
"GO:0000018","BP"
"GO:0000019","BP"
"GO:0000022","BP"
"GO:0000023","BP"
"GO:0000024","BP"
"GO:0000025","BP"
"GO:0000026","MF"
"GO:0000027","BP"
"GO:0000028","BP"
"GO:0000030","MF"
"GO:0000031","MF"
"GO:0000032","BP"
"GO:0000033","MF"
"GO:0000034","MF"
"GO:0000035","MF"
"GO:0000036","MF"
"GO:0000038","BP"
"GO:0000041","BP"
"GO:0000045","BP"
"GO:0000048","MF"
"GO:0000049","MF"
"GO:0000050","BP"
"GO:0000052","BP"
"GO:0000053","BP"
"GO:0000054","BP"
"GO:0000055","BP"
"GO:0000056","BP"
"GO:0000062","MF"
"GO:0000064","MF"
"GO:0000070","BP"
"GO:0000073","BP"
"GO:0000075","BP"
"GO:0000076","BP"
"GO:0000077","BP"
"GO:0000079","BP"
"GO:0000080","BP"
"GO:0000082","BP"
"GO:0000083","BP"
"GO:0000084","BP"
"GO:0000085","BP"
"GO:0000086","BP"
"GO:0000087","BP"
"GO:0000088","BP"
"GO:0000089","BP"
"GO:0000090","BP"
"GO:0000091","BP"
"GO:0000092","BP"
"GO:0000093","BP"
"GO:0000095","MF"
"GO:0000096","BP"
"GO:0000097","BP"
"GO:0000098","BP"
"GO:0000099","MF"
"GO:0000100","MF"
"GO:0000101","BP"
"GO:0000102","MF"
"GO:0000103","BP"
"GO:0000104","MF"
"GO:0000105","BP"
"GO:0000107","MF"
"GO:0000109","CC"
"GO:0000110","CC"
"GO:0000111","CC"
"GO:0000112","CC"
"GO:0000113","CC"
"GO:0000117","BP"
"GO:0000118","CC"
"GO:0000120","CC"
"GO:0000121","MF"
"GO:0000122","BP"
"GO:0000123","CC"
"GO:0000124","CC"
"GO:0000125","CC"
"GO:0000126","CC"
"GO:0000127","CC"
"GO:0000128","BP"
"GO:0000131","CC"
"GO:0000132","BP"
"GO:0000133","CC"
"GO:0000136","CC"
"GO:0000137","CC"
"GO:0000138","CC"
"GO:0000139","CC"
"GO:0000140","MF"
"GO:0000142","CC"
"GO:0000144","CC"
"GO:0000145","CC"
"GO:0000146","MF"
"GO:0000147","BP"
"GO:0000148","CC"
"GO:0000149","MF"
"GO:0000150","MF"
"GO:0000151","CC"
"GO:0000152","CC"
"GO:0000153","CC"
"GO:0000154","BP"
"GO:0000155","MF"
"GO:0000156","MF"
"GO:0000159","CC"
"GO:0000160","BP"
"GO:0000161","BP"
"GO:0000162","BP"
"GO:0000164","CC"
"GO:0000165","BP"
"GO:0000166","MF"
"GO:0000170","MF"
"GO:0000171","MF"
"GO:0000172","CC"
"GO:0000175","MF"
"GO:0000176","CC"
"GO:0000177","CC"
"GO:0000178","CC"
"GO:0000179","MF"
"GO:0000182","MF"
"GO:0000183","BP"
"GO:0000184","BP"
"GO:0000185","BP"
"GO:0000186","BP"
"GO:0000187","BP"
"GO:0000188","BP"
"GO:0000196","BP"
"GO:0000197","BP"
"GO:0000198","BP"
"GO:0000199","BP"
"GO:0000200","BP"
"GO:0000209","BP"
"GO:0000210","MF"
"GO:0000212","BP"
"GO:0000213","MF"
"GO:0000214","CC"
"GO:0000215","MF"
"GO:0000217","MF"
"GO:0000220","CC"
"GO:0000221","CC"
"GO:0000222","CC"
"GO:0000223","CC"
"GO:0000224","MF"
"GO:0000225","MF"
"GO:0000226","BP"
"GO:0000227","MF"
"GO:0000228","CC"
"GO:0000229","CC"
"GO:0000234","MF"
"GO:0000235","CC"
"GO:0000236","BP"
"GO:0000237","BP"
"GO:0000238","BP"
"GO:0000239","BP"
"GO:0000240","BP"
"GO:0000241","BP"
"GO:0000242","CC"
"GO:0000243","CC"
"GO:0000244","BP"
"GO:0000245","BP"
"GO:0000246","MF"
"GO:0000247","MF"
"GO:0000248","MF"
"GO:0000249","MF"
"GO:0000250","MF"
"GO:0000252","MF"
"GO:0000253","MF"
"GO:0000254","MF"
"GO:0000255","BP"
"GO:0000256","BP"
"GO:0000257","MF"
"GO:0000262","CC"
"GO:0000266","BP"
"GO:0000268","MF"
"GO:0000269","MF"
"GO:0000270","BP"
"GO:0000271","BP"
"GO:0000272","BP"
"GO:0000274","CC"
"GO:0000275","CC"
"GO:0000276","CC"
"GO:0000277","MF"
"GO:0000278","BP"
"GO:0000279","BP"
"GO:0000280","BP"
"GO:0000281","BP"
"GO:0000282","BP"
"GO:0000285","MF"
"GO:0000286","MF"
"GO:0000287","MF"
"GO:0000288","BP"
"GO:0000289","BP"
"GO:0000290","BP"
"GO:0000291","BP"
"GO:0000292","BP"
"GO:0000293","MF"
"GO:0000294","BP"
"GO:0000295","MF"
"GO:0000296","BP"
"GO:0000297","MF"
"GO:0000298","MF"
"GO:0000301","BP"
"GO:0000302","BP"
"GO:0000303","BP"
"GO:0000304","BP"
"GO:0000305","BP"
"GO:0000306","CC"
"GO:0000307","CC"
"GO:0000308","CC"
"GO:0000309","MF"
"GO:0000310","MF"
"GO:0000311","CC"
"GO:0000312","CC"
"GO:0000313","CC"
"GO:0000314","CC"
"GO:0000315","CC"
"GO:0000316","BP"
"GO:0000319","MF"
"GO:0000320","BP"
"GO:0000321","BP"
"GO:0000322","CC"
"GO:0000323","CC"
"GO:0000324","CC"
"GO:0000325","CC"
"GO:0000326","CC"
"GO:0000327","CC"
"GO:0000328","CC"
"GO:0000329","CC"
"GO:0000330","CC"
"GO:0000331","CC"
"GO:0000332","MF"
"GO:0000333","CC"
"GO:0000334","MF"
"GO:0000335","BP"
"GO:0000336","BP"
"GO:0000337","BP"
"GO:0000338","BP"
"GO:0000339","MF"
"GO:0000340","MF"
"GO:0000341","MF"
"GO:0000342","MF"
"GO:0000343","CC"
"GO:0000344","CC"
"GO:0000345","CC"
"GO:0000346","CC"
"GO:0000347","CC"
"GO:0000348","BP"
"GO:0000349","BP"
"GO:0000350","BP"
"GO:0000352","BP"
"GO:0000353","BP"
"GO:0000354","BP"
"GO:0000365","BP"
"GO:0000366","BP"
"GO:0000372","BP"
"GO:0000373","BP"
"GO:0000374","BP"
"GO:0000375","BP"
"GO:0000376","BP"
"GO:0000377","BP"
"GO:0000378","BP"
"GO:0000379","BP"
"GO:0000380","BP"
"GO:0000381","BP"
"GO:0000384","MF"
"GO:0000386","MF"
"GO:0000387","BP"
"GO:0000388","BP"
"GO:0000389","BP"
"GO:0000390","BP"
"GO:0000393","BP"
"GO:0000394","BP"
"GO:0000395","BP"
"GO:0000398","BP"
"GO:0000399","CC"
"GO:0000400","MF"
"GO:0000401","MF"
"GO:0000402","MF"
"GO:0000403","MF"
"GO:0000404","MF"
"GO:0000405","MF"
"GO:0000406","MF"
"GO:0000407","CC"
"GO:0000408","CC"
"GO:0000409","BP"
"GO:0000410","BP"
"GO:0000411","BP"
"GO:0000412","BP"
"GO:0000413","BP"
"GO:0000414","BP"
"GO:0000415","BP"
"GO:0000416","BP"
"GO:0000417","CC"
"GO:0000418","CC"
"GO:0000419","CC"
"GO:0000421","CC"
"GO:0000422","BP"
"GO:0000423","BP"
"GO:0000424","BP"
"GO:0000425","BP"
"GO:0000426","BP"
"GO:0000427","CC"
"GO:0000428","CC"
"GO:0000429","BP"
"GO:0000430","BP"
"GO:0000431","BP"
"GO:0000432","BP"
"GO:0000433","BP"
"GO:0000434","BP"
"GO:0000435","BP"
"GO:0000436","BP"
"GO:0000437","BP"
"GO:0000438","CC"
"GO:0000439","CC"
"GO:0000440","CC"
"GO:0000444","CC"
"GO:0000445","CC"
"GO:0000446","CC"
"GO:0000447","BP"
"GO:0000448","BP"
"GO:0000449","BP"
"GO:0000450","BP"
"GO:0000451","BP"
"GO:0000452","BP"
"GO:0000453","BP"
"GO:0000454","BP"
"GO:0000455","BP"
"GO:0000457","BP"
"GO:0000458","BP"
"GO:0000459","BP"
"GO:0000460","BP"
"GO:0000461","BP"
"GO:0000462","BP"
"GO:0000463","BP"
"GO:0000464","BP"
"GO:0000465","BP"
"GO:0000466","BP"
"GO:0000467","BP"
"GO:0000468","BP"
"GO:0000469","BP"
"GO:0000470","BP"
"GO:0000471","BP"
"GO:0000472","BP"
"GO:0000473","BP"
"GO:0000474","BP"
"GO:0000475","BP"
"GO:0000476","BP"
"GO:0000477","BP"
"GO:0000478","BP"
"GO:0000479","BP"
"GO:0000480","BP"
"GO:0000481","BP"
"GO:0000482","BP"
"GO:0000483","BP"
"GO:0000484","BP"
"GO:0000485","BP"
"GO:0000486","BP"
"GO:0000487","BP"
"GO:0000488","BP"
"GO:0000489","BP"
"GO:0000491","BP"
"GO:0000492","BP"
"GO:0000493","BP"
"GO:0000494","BP"
"GO:0000495","BP"
"GO:0000497","MF"
"GO:0000500","CC"
"GO:0000502","CC"
"GO:0000506","CC"
"GO:0000578","BP"
"GO:0000700","MF"
"GO:0000701","MF"
"GO:0000702","MF"
"GO:0000703","MF"
"GO:0000704","MF"
"GO:0000705","BP"
"GO:0000706","BP"
"GO:0000707","BP"
"GO:0000708","BP"
"GO:0000709","BP"
"GO:0000710","BP"
"GO:0000711","BP"
"GO:0000712","BP"
"GO:0000713","BP"
"GO:0000714","BP"
"GO:0000715","BP"
"GO:0000716","BP"
"GO:0000717","BP"
"GO:0000718","BP"
"GO:0000719","BP"
"GO:0000720","BP"
"GO:0000721","MF"
"GO:0000722","BP"
"GO:0000723","BP"
"GO:0000724","BP"
"GO:0000725","BP"
"GO:0000726","BP"
"GO:0000727","BP"
"GO:0000729","BP"
"GO:0000730","BP"
"GO:0000731","BP"
"GO:0000732","BP"
"GO:0000733","BP"
"GO:0000735","BP"
"GO:0000736","BP"
"GO:0000737","BP"
"GO:0000738","BP"
"GO:0000740","BP"
"GO:0000741","BP"
"GO:0000742","BP"
"GO:0000743","BP"
"GO:0000744","BP"
"GO:0000745","BP"
"GO:0000746","BP"
"GO:0000747","BP"
"GO:0000748","BP"
"GO:0000749","BP"
"GO:0000750","BP"
"GO:0000751","BP"
"GO:0000752","BP"
"GO:0000753","BP"
"GO:0000754","BP"
"GO:0000755","BP"
"GO:0000756","BP"
"GO:0000758","BP"
"GO:0000760","BP"
"GO:0000761","BP"
"GO:0000762","BP"
"GO:0000765","BP"
"GO:0000766","BP"
"GO:0000767","BP"
"GO:0000768","BP"
"GO:0000769","BP"
"GO:0000770","BP"
"GO:0000771","BP"
"GO:0000772","MF"
"GO:0000773","MF"
"GO:0000774","MF"
"GO:0000775","CC"
"GO:0000776","CC"
"GO:0000777","CC"
"GO:0000778","CC"
"GO:0000779","CC"
"GO:0000781","CC"
"GO:0000782","CC"
"GO:0000783","CC"
"GO:0000785","CC"
"GO:0000786","CC"
"GO:0000791","CC"
"GO:0000792","CC"
"GO:0000793","CC"
"GO:0000794","CC"
"GO:0000795","CC"
"GO:0000796","CC"
"GO:0000798","CC"
"GO:0000800","CC"
"GO:0000801","CC"
"GO:0000802","CC"
"GO:0000803","CC"
"GO:0000804","CC"
"GO:0000805","CC"
"GO:0000806","CC"
"GO:0000807","CC"
"GO:0000808","CC"
"GO:0000809","CC"
"GO:0000810","MF"
"GO:0000811","CC"
"GO:0000812","CC"
"GO:0000813","CC"
"GO:0000814","CC"
"GO:0000815","CC"
"GO:0000817","CC"
"GO:0000818","CC"
"GO:0000819","BP"
"GO:0000820","BP"
"GO:0000821","BP"
"GO:0000822","MF"
"GO:0000823","MF"
"GO:0000824","MF"
"GO:0000825","MF"
"GO:0000827","MF"
"GO:0000828","MF"
"GO:0000829","MF"
"GO:0000830","MF"
"GO:0000831","MF"
"GO:0000832","MF"
"GO:0000833","MF"
"GO:0000834","MF"
"GO:0000835","CC"
"GO:0000836","CC"
"GO:0000837","CC"
"GO:0000838","CC"
"GO:0000839","CC"
"GO:0000900","MF"
"GO:0000901","MF"
"GO:0000902","BP"
"GO:0000904","BP"
"GO:0000905","BP"
"GO:0000906","MF"
"GO:0000907","MF"
"GO:0000908","MF"
"GO:0000909","BP"
"GO:0000910","BP"
"GO:0000911","BP"
"GO:0000912","BP"
"GO:0000913","BP"
"GO:0000914","BP"
"GO:0000915","BP"
"GO:0000916","BP"
"GO:0000917","BP"
"GO:0000918","BP"
"GO:0000919","BP"
"GO:0000920","BP"
"GO:0000921","BP"
"GO:0000922","CC"
"GO:0000923","CC"
"GO:0000924","CC"
"GO:0000927","CC"
"GO:0000928","CC"
"GO:0000930","CC"
"GO:0000931","CC"
"GO:0000932","CC"
"GO:0000933","CC"
"GO:0000934","CC"
"GO:0000935","CC"
"GO:0000936","CC"
"GO:0000937","CC"
"GO:0000938","CC"
"GO:0000939","CC"
"GO:0000940","CC"
"GO:0000941","CC"
"GO:0000942","CC"
"GO:0000943","CC"
"GO:0000947","BP"
"GO:0000948","BP"
"GO:0000949","BP"
"GO:0000950","BP"
"GO:0000951","BP"
"GO:0000952","BP"
"GO:0000953","BP"
"GO:0000954","BP"
"GO:0000955","BP"
"GO:0000956","BP"
"GO:0000957","BP"
"GO:0000958","BP"
"GO:0000959","BP"
"GO:0000960","BP"
"GO:0000961","BP"
"GO:0000962","BP"
"GO:0000963","BP"
"GO:0000964","BP"
"GO:0000965","BP"
"GO:0000966","BP"
"GO:0000967","BP"
"GO:0000968","BP"
"GO:0000969","BP"
"GO:0000970","BP"
"GO:0000971","BP"
"GO:0000972","BP"
"GO:0000973","BP"
"GO:0000974","CC"
"GO:0000976","MF"
"GO:0000977","MF"
"GO:0000978","MF"
"GO:0000979","MF"
