yourlist:M20210906F248CABF64506F29A91F8037F07B67D11995558	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
NER33884.1	A0A7C9TVM4	A0A7C9TVM4_9CYAN	unreviewed	Glutathione S-transferase family protein	F6J93_07525	Oscillatoria sp. SIO1A7	323	glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]	GO:0004364; GO:0006749
CUR31200.1	A0A1J1LFI5	A0A1J1LFI5_9CYAN	unreviewed	Uncharacterized protein	PL9214290791 PL9214640335 PL9214650173	Planktothrix tepida PCC 9214	288		
BAZ50546.1	A0A1Z4S745	A0A1Z4S745_9NOSO	unreviewed	IS891/IS1136/IS1341 transposase	NIES4103_31620	Nostoc sp. NIES-4103	439	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
NET48333.1	A0A6P0YSC1	A0A6P0YSC1_9CYAN	unreviewed	Uma2 family endonuclease	F6K09_06320	Merismopedia sp. SIO2A8	184	endonuclease activity [GO:0004519]	GO:0004519
NEN87711.1	A0A6P0HWL1	A0A6P0HWL1_9CYAN	unreviewed	30S ribosomal protein S14	rpsN rps14 F6K48_01760	Okeania sp. SIO3H1	100	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412; GO:0019843
NER21245.1	A0A6P0V4A1	A0A6P0V4A1_9CYAN	unreviewed	Heterodisulfide reductase	F6J96_11150	Symploca sp. SIO1C2	301		
NER35590.1	A0A7C9PUF0	A0A7C9PUF0_9CYAN	unreviewed	DUF4327 family protein	F6J93_16625	Oscillatoria sp. SIO1A7	72		
RYU91021.1	A0A4Q5LNT8	A0A4Q5LNT8_9BACT	unreviewed	Uncharacterized protein	EWM59_27260	Emticicia sp. 17J42-9	390		
CCQ50180.1	T2ID48	T2ID48_CROWT	unreviewed	Uncharacterized protein	CWATWH8502_677	Crocosphaera watsonii WH 8502	96	integral component of membrane [GO:0016021]	GO:0016021
EKD99142.1	K2DMA2	K2DMA2_9BACT	unreviewed	HicB-like domain-containing protein	ACD_23C00110G0002	uncultured bacterium	83		
NEQ63042.1	A0A6B3N6K2	A0A6B3N6K2_9CYAN	unreviewed	Transposase	F6K53_39065	Moorea sp. SIO4A1	414	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
GAX35094.1	A0A218PZP4	A0A218PZP4_9CYAN	unreviewed	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB NIES3585_11000	Nodularia sp. NIES-3585	312	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; homoserine kinase activity [GO:0004413]; threonine biosynthetic process [GO:0009088]	GO:0004413; GO:0005524; GO:0005737; GO:0009088
