id,gene_id,gene_name,KO
1_1,K07393,glutathionyl-hydroquinone reductase [EC:1.8.5.7],K07393
1_10,K07494,putative transposase,K07494
1_11,1_11,,none
1_12,1_12,,none
1_13,K18233,oleandomycin transport system permease protein,K18233
1_14,K07450,putative resolvase,K07450
1_15,1_15,,none
1_2,K18900,"LysR family transcriptional regulator, regulator for bpeEF and oprC",K18900
1_3,K06911,uncharacterized protein,K06911
1_4,K15976,putative NAD(P)H nitroreductase [EC:1.-.-.-],K15976
1_5,K06889,uncharacterized protein,K06889
1_6,K05802,potassium-dependent mechanosensitive channel,K05802
1_7,K01425,glutaminase [EC:3.5.1.2],K01425
1_8,K18014,3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14],K18014
1_9,K07495,putative transposase,K07495
10_1,K16669,protocadherin Fat 4,K16669
10_10,K08256,phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345],K08256
10_11,K01014,aryl sulfotransferase [EC:2.8.2.1],K01014
10_12,K01021,protein-tyrosine sulfotransferase [EC:2.8.2.20],K01021
10_13,10_13,,none
10_14,K01025,sulfotransferase [EC:2.8.2.-],K01025
10_15,K09691,lipopolysaccharide transport system ATP-binding protein,K09691
10_16,K07495,putative transposase,K07495
10_17,10_17,,none
10_18,K07494,putative transposase,K07494
10_19,K07494,putative transposase,K07494
10_2,K11005,hemolysin A,K11005
10_20,K09691,lipopolysaccharide transport system ATP-binding protein,K09691
10_21,10_21,,none
10_22,K03550,holliday junction DNA helicase RuvA [EC:3.6.4.12],K03550
10_23,K03118,sec-independent protein translocase protein TatC,K03118
10_24,K01191,alpha-mannosidase [EC:3.2.1.24],K01191
10_25,K14086,ech hydrogenase subunit A,K14086
10_26,K16422,4-hydroxymandelate oxidase [EC:1.1.3.46],K16422
10_27,K01069,hydroxyacylglutathione hydrolase [EC:3.1.2.6],K01069
10_28,K10716,voltage-gated potassium channel,K10716
10_29,10_29,,none
10_3,K14656,FAD synthetase [EC:2.7.7.2],K14656
10_30,K02234,cobalamin biosynthesis protein CobW,K02234
10_31,K06381,stage II sporulation protein D,K06381
