Treatment,growcell,cellCfix,CPUE,cellNfix,NPUE,NIUE,CIUE
Co-lim,0.193386772,4.37E-02,2.64E+01,0.00071,0.444180404,22.85378873,1358.169481
Co-lim,0.217470906,4.14E-02,2.25E+01,0.000706,0.41743328,22.02721078,1187.579879
Co-lim,0.194458838,4.97E-02,2.22E+01,0.00103,0.559381983,39.72600372,1578.686332
Fe-lim,0.187604581,8.27E-02,1.79E+01,0.00158,0.371904254,68.41622815,3299.394177
Fe-lim,0.172612056,7.44E-02,1.13E+01,0.00184,0.262752263,53.38074489,2297.059426
Fe-lim,0.171573489,7.54E-02,1.48E+01,0.002456738,0.583402215,99.10906422,2509.150788
P-lim,0.142671978,6.60E-02,2.51E+01,0.000516,0.190569598,1.813076011,238.7523115
P-lim,0.143322877,6.50E-02,2.88E+01,0.000409,0.191187138,4.025261267,607.1031053
P-lim,0.134693675,4.81E-02,2.40E+01,0.000408,0.181292735,2.724602155,360.0767755
Replete,0.283683403,1.44E-01,1.67E+01,0.00343,0.401887036,14.82049526,614.3070533
Replete,0.254198856,1.42E-01,2.00E+01,0.00646,0.787627741,62.81647589,1591.944903
Replete,0.376923133,1.77E-01,2.25E+01,0.00516,0.685176523,29.2306374,961.2246683
