	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	1_1	NER33884.1	468	1	2.83E-91	89.03	1	F:GO:0004364	F:glutathione transferase activity			PF13410 (PFAM); G3DSA:1.20.1050.10 (GENE3D); IPR016639 (PANTHER); IPR010987 (PROSITE_PROFILES); cd03190 (CDD); IPR036282 (SUPERFAMILY)	F:GO:0004364	F:glutathione transferase activity
true	[INTERPRO, BLASTED, ANNOTATED]	1_2	MBD0268054.1	885	1	1.8E-115	75.78	2	P:GO:0006355; F:GO:0003700	P:regulation of transcription, DNA-templated; F:DNA-binding transcription factor activity			IPR036388 (G3DSA:1.10.10.GENE3D); IPR000847 (PFAM); IPR005119 (PFAM); G3DSA:3.40.190.290 (GENE3D); PTHR30126 (PANTHER); PTHR30126:SF42 (PANTHER); IPR000847 (PROSITE_PROFILES); cd08422 (CDD); IPR036390 (SUPERFAMILY); SSF53850 (SUPERFAMILY)	P:GO:0006355; F:GO:0003700	P:regulation of transcription, DNA-templated; F:DNA-binding transcription factor activity
true	[INTERPRO, BLASTED]	1_3	WP_015220182.1	702	1	1.14E-112	80.26						IPR012093 (PIRSF); IPR014710 (G3DSA:2.60.120.GENE3D); IPR041602 (PFAM); IPR014710 (G3DSA:2.60.120.GENE3D); IPR003829 (PFAM); IPR012093 (PANTHER); cd02910 (CDD); cd20311 (CDD); IPR011051 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	1_4	MBW2473383.1	606	1	9.3E-124	92.54	1	F:GO:0016491	F:oxidoreductase activity			IPR029479 (PFAM); IPR000415 (G3DSA:3.40.109.GENE3D); PTHR43673 (PANTHER); PTHR43673:SF8 (PANTHER); cd02137 (CDD); IPR000415 (SUPERFAMILY)	F:GO:0016491	F:oxidoreductase activity
true	[INTERPRO, BLASTED, ANNOTATED]	1_5	MBP0000460.1	1674	1	8.63E-88	53.86	2	P:GO:0016042; F:GO:0003847	P:lipid catabolic process; F:1-alkyl-2-acetylglycerophosphocholine esterase activity			IPR029058 (G3DSA:3.40.50.GENE3D); IPR005065 (PFAM); IPR010802 (PFAM); IPR005065 (PANTHER); PTHR10272:SF13 (PANTHER); PS51257 (PROSITE_PROFILES); IPR029058 (SUPERFAMILY)	P:GO:0016042; F:GO:0003847	P:lipid catabolic process; F:1-alkyl-2-acetylglycerophosphocholine esterase activity
true	[INTERPRO, BLASTED, ANNOTATED]	1_6	NCS39167.1	1431	1	4.61E-154	69.55	2	P:GO:0055085; C:GO:0016020	P:transmembrane transport; C:membrane			IPR000595 (SMART); IPR014710 (G3DSA:2.60.120.GENE3D); IPR023408 (G3DSA:2.30.30.GENE3D); G3DSA:3.30.70.100 (GENE3D); IPR000595 (PFAM); IPR006685 (PFAM); G3DSA:1.10.287.1260 (GENE3D); PTHR30347 (PANTHER); PTHR30347:SF1 (PANTHER); IPR000595 (PROSITE_PROFILES); IPR000595 (CDD); IPR011066 (SUPERFAMILY); IPR010920 (SUPERFAMILY); IPR018490 (SUPERFAMILY); IPR011014 (SUPERFAMILY)	P:GO:0055085; C:GO:0016020	P:transmembrane transport; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	1_7	WP_006635719.1	897	1	5.1E-95	70.85	2	P:GO:0006541; F:GO:0004359	P:glutamine metabolic process; F:glutaminase activity			IPR015868 (PFAM); IPR012338 (G3DSA:3.40.710.GENE3D); IPR015868 (PANTHER); PTHR12544:SF29 (PANTHER); IPR012338 (SUPERFAMILY)	P:GO:0006541; F:GO:0004359	P:glutamine metabolic process; F:glutaminase activity
true	[INTERPRO]	1_8		642									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	1_9	MBN3886231.1	477	1	1.38E-33	67.48						IPR012337 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	1_10	CUR31200.1	1167	1	5.67E-110	76.79	1	F:GO:0003676	F:nucleic acid binding			IPR025959 (PFAM); IPR038717 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D); IPR009057 (SUPERFAMILY)	F:GO:0003676	F:nucleic acid binding
true	[INTERPRO]	1_11		444									no IPS match	no IPS match	no IPS match
true	[INTERPRO]	1_12		213									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	1_13	PSO68358.1	891	1	1.36E-133	85.14	2	P:GO:0055085; C:GO:0043190	P:transmembrane transport; C:ATP-binding cassette (ABC) transporter complex			IPR013525 (PFAM); IPR000412 (PIRSF); PTHR43077:SF9 (PANTHER); PTHR43077 (PANTHER); IPR000412 (PROSITE_PROFILES)	P:GO:0055085; C:GO:0016020; C:GO:0016021; C:GO:0043190	P:transmembrane transport; C:membrane; C:integral component of membrane; C:ATP-binding cassette (ABC) transporter complex
true	[INTERPRO, BLASTED, ANNOTATED]	1_14	WP_096549300.1	576	1	1.61E-81	80.95	3	P:GO:0006310; F:GO:0000150; F:GO:0003677	P:DNA recombination; F:DNA strand exchange activity; F:DNA binding			IPR006119 (SMART); IPR006119 (PFAM); IPR036162 (G3DSA:3.40.50.GENE3D); G3DSA:1.10.287.2170 (GENE3D); PTHR36172 (PANTHER); IPR006119 (PROSITE_PROFILES); IPR041718 (CDD); IPR036162 (SUPERFAMILY)	P:GO:0006310; F:GO:0000150; F:GO:0003677	P:DNA recombination; F:DNA strand exchange activity; F:DNA binding
true	[INTERPRO]	1_15		228									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	2_1	WP_205369511.1	2094	1	3.61E-308	85.67	4	P:GO:0006457; F:GO:0005524; F:GO:0016887; F:GO:0051082	P:protein folding; F:ATP binding; F:ATP hydrolysis activity; F:unfolded protein binding			PR00301 (PRINTS); G3DSA:3.90.640.10 (GENE3D); IPR029048 (G3DSA:1.20.1270.GENE3D); IPR029047 (G3DSA:2.60.34.GENE3D); IPR012725 (TIGRFAM); G3DSA:3.30.420.40 (GENE3D); G3DSA:3.30.420.40 (GENE3D); IPR013126 (PFAM); mobidb-lite (MOBIDB_LITE); IPR013126 (PANTHER); PTHR19375:SF356 (PANTHER); IPR012725 (HAMAP); cd10234 (CDD); IPR043129 (SUPERFAMILY); IPR029047 (SUPERFAMILY); IPR043129 (SUPERFAMILY)	P:GO:0006457; F:GO:0005524; F:GO:0016887; F:GO:0051082	P:protein folding; F:ATP binding; F:ATP hydrolysis activity; F:unfolded protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	2_2	WP_167719429.1	753	1	3.25E-69	75.13	4	P:GO:0006457; F:GO:0000774; F:GO:0042803; F:GO:0051087	P:protein folding; F:adenyl-nucleotide exchange factor activity; F:protein homodimerization activity; F:chaperone binding			IPR000740 (PRINTS); IPR009012 (G3DSA:2.30.22.GENE3D); IPR013805 (G3DSA:3.90.20.GENE3D); IPR000740 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR21237:SF4 (PANTHER); IPR000740 (PANTHER); IPR000740 (HAMAP); IPR000740 (CDD); IPR013805 (SUPERFAMILY); IPR009012 (SUPERFAMILY)	P:GO:0006457; F:GO:0000774; F:GO:0042803; F:GO:0051087	P:protein folding; F:adenyl-nucleotide exchange factor activity; F:protein homodimerization activity; F:chaperone binding
true	[INTERPRO]	2_3		165									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	2_4	WP_039713888.1	465	1	1.95E-75	83.66	1	F:GO:0008113	F:peptide-methionine (S)-S-oxide reductase activity			IPR002569 (PFAM); IPR036509 (G3DSA:3.30.1060.GENE3D); IPR002569 (TIGRFAM); PTHR42799 (PANTHER); PTHR42799:SF2 (PANTHER); IPR002569 (HAMAP); IPR036509 (SUPERFAMILY)	F:GO:0008113	F:peptide-methionine (S)-S-oxide reductase activity
true	[INTERPRO, BLASTED]	2_5	WP_179074024.1	375	1	1.04E-54	77.05						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	2_6	WP_002769748.1	621	1	9.0E-86	75.0						IPR011055 (G3DSA:2.70.70.GENE3D); IPR016047 (PFAM); PTHR21666:SF270 (PANTHER); PTHR21666 (PANTHER); IPR011055 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO]	2_7		153									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	2_8	WP_015783836.1	447	1	1.22E-80	86.49						IPR014710 (G3DSA:2.60.120.GENE3D); IPR011051 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	2_9	WP_015957390.1	774	1	2.02E-116	76.47	1	F:GO:0016702	F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen			IPR004294 (PFAM); IPR004294 (PANTHER); IPR011048 (SUPERFAMILY)	F:GO:0016702	F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
true	[INTERPRO]	3_1		156									IPR013424 (PFAM); IPR013424 (TIGRFAM)	no GO terms	no GO terms
true	[INTERPRO]	3_2		267									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_3	BAZ50546.1	1260	1	7.37E-163	73.8	1	P:GO:0009987	P:cellular process			IPR021027 (PFAM); IPR010095 (PFAM); IPR001959 (PFAM); IPR010095 (TIGRFAM); mobidb-lite (MOBIDB_LITE); PTHR30405:SF17 (PANTHER); PTHR30405 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_4	NET48333.1	555	1	1.63E-95	87.5	2	P:GO:0090305; F:GO:0004519	P:nucleic acid phosphodiester bond hydrolysis; F:endonuclease activity	EC:3.1	Acting on ester bonds	IPR012296 (G3DSA:3.90.1570.GENE3D); IPR008538 (PFAM); PTHR36558 (PANTHER); IPR008538 (CDD); IPR011335 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_5	NEN87711.1	303	1	6.67E-55	90.0	3	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome			IPR001209 (PFAM); G3DSA:1.10.287.1480 (GENE3D); IPR001209 (PANTHER); PTHR19836:SF19 (PANTHER); IPR023036 (HAMAP); SSF57716 (SUPERFAMILY)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED]	3_6	WP_104547255.1	336	1	1.96E-54	88.89						PTHR36776 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	3_7	WP_190514262.1	582	1	1.51E-89	82.8	2	P:GO:0030163; F:GO:0008914	P:protein catabolic process; F:leucyltransferase activity			IPR004616 (TIGRFAM); IPR042203 (G3DSA:3.40.630.GENE3D); IPR004616 (PFAM); IPR004616 (PANTHER); PTHR30098:SF2 (PANTHER); IPR004616 (HAMAP); IPR016181 (SUPERFAMILY)	P:GO:0030163; F:GO:0008914	P:protein catabolic process; F:leucyltransferase activity
true	[INTERPRO, BLASTED]	3_8	NER21245.1	924	1	4.6E-182	89.53						G3DSA:3.40.50.11810 (GENE3D); IPR004017 (PFAM); G3DSA:1.20.1050.140 (GENE3D); PTHR42947 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	3_9	WP_149107093.1	375	1	1.65E-53	89.62						IPR011629 (SMART); IPR011629 (PFAM); IPR036627 (G3DSA:3.30.1220.GENE3D); PTHR13748 (PANTHER); PTHR13748:SF65 (PANTHER); SSF90002 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	3_10	WP_012408115.1	321	1	4.09E-49	88.12						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	3_11	NER35590.1	270	1	1.7E-33	84.72						IPR025477 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	3_12	MBN3893746.1	912	1	2.09E-167	92.2	3	P:GO:0006526; F:GO:0003991; C:GO:0005737	P:arginine biosynthetic process; F:acetylglutamate kinase activity; C:cytoplasm			IPR001057 (PRINTS); IPR036393 (G3DSA:3.40.1160.GENE3D); IPR004662 (PIRSF); IPR004662 (TIGRFAM); IPR001048 (PFAM); PTHR23342 (PANTHER); PTHR23342:SF14 (PANTHER); IPR037528 (HAMAP); IPR041727 (CDD); IPR036393 (SUPERFAMILY)	P:GO:0006526; F:GO:0003991; C:GO:0005737	P:arginine biosynthetic process; F:acetylglutamate kinase activity; C:cytoplasm
true	[INTERPRO, BLASTED, ANNOTATED]	3_13	NCS07892.1	732	1	3.19E-80	65.29	1	F:GO:0004594	F:pantothenate kinase activity			IPR004619 (TIGRFAM); G3DSA:3.30.420.40 (GENE3D); IPR004619 (PFAM); IPR004619 (PANTHER); IPR004619 (HAMAP); IPR043129 (SUPERFAMILY)	F:GO:0004594	F:pantothenate kinase activity
true	[INTERPRO, BLASTED, MAPPED]	3_14	WP_016516790.1	2277	1	1.73E-243	69.26	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane			PF13646 (PFAM); IPR007111 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR011989 (G3DSA:1.25.10.GENE3D); PTHR46844 (PANTHER); IPR007111 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO]	3_15		114									no IPS match	no IPS match	no IPS match
true	[INTERPRO]	3_16		366									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	3_17	RYU91021.1	762	1	1.56E-7	42.45						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_18	CCQ50180.1	624	1	3.24E-51	100.0	1	C:GO:0016021	C:integral component of membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_19	WP_012593393.1	2664	1	0.0	93.35	5	P:GO:0009408; P:GO:0042026; F:GO:0005524; F:GO:0016887; C:GO:0005737	P:response to heat; P:protein refolding; F:ATP binding; F:ATP hydrolysis activity; C:cytoplasm			IPR001270 (PRINTS); IPR019489 (SMART); IPR003593 (SMART); IPR003959 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); IPR041546 (PFAM); IPR003959 (PFAM); IPR004176 (PFAM); IPR036628 (G3DSA:1.10.1780.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); G3DSA:1.10.8.60 (GENE3D); IPR019489 (PFAM); IPR017730 (TIGRFAM); PTHR11638 (PANTHER); PTHR11638:SF18 (PANTHER); IPR004176 (PROSITE_PROFILES); cd00009 (CDD); cd00009 (CDD); IPR036628 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	P:GO:0009408; P:GO:0042026; F:GO:0005524; F:GO:0016887; C:GO:0005737	P:response to heat; P:protein refolding; F:ATP binding; F:ATP hydrolysis activity; C:cytoplasm
true	[INTERPRO, BLASTED, ANNOTATED]	3_20	WP_106232911.1	198	1	2.95E-26	86.67	1	F:GO:0003729	F:mRNA binding			IPR038570 (G3DSA:3.30.920.GENE3D); IPR012933 (PFAM); PTHR34873 (PANTHER); SSF54786 (SUPERFAMILY)	F:GO:0003729	F:mRNA binding
true	[INTERPRO, BLASTED]	3_21	EKD99142.1	210	1	9.46E-30	81.16						G3DSA:3.30.160.250 (GENE3D); IPR031807 (PFAM); PTHR34504 (PANTHER); IPR035069 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	3_22	WP_137667842.1	393	1	3.45E-42	76.23						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	3_23	WP_168356987.1	561	1	4.41E-85	80.66						IPR008538 (PFAM); IPR012296 (G3DSA:3.90.1570.GENE3D); PTHR34107:SF5 (PANTHER); PTHR34107 (PANTHER); IPR008538 (CDD); IPR011335 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO]	3_24		321									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_25	NEQ63042.1	1209	1	1.21E-215	84.12	3	P:GO:0006310; P:GO:0032196; F:GO:0003677	P:DNA recombination; P:transposition; F:DNA binding			IPR010095 (TIGRFAM); IPR001959 (PFAM); IPR010095 (PFAM); PTHR30405:SF17 (PANTHER); PTHR30405 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	3_26	WP_106909392.1	1407	1	5.32E-189	74.84						IPR021801 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	3_27	MBD2580306.1	1164	1	1.1E-233	92.25	2	P:GO:0006164; F:GO:0003938	P:purine nucleotide biosynthetic process; F:IMP dehydrogenase activity			SM01240 (SMART); IPR013785 (G3DSA:3.20.20.GENE3D); IPR001093 (PFAM); IPR005992 (TIGRFAM); IPR005992 (PTHR11911:PANTHER); IPR005990 (PANTHER); IPR001093 (CDD); SSF51412 (SUPERFAMILY)	P:GO:0006164; F:GO:0003824; F:GO:0003938; F:GO:0016491	P:purine nucleotide biosynthetic process; F:catalytic activity; F:IMP dehydrogenase activity; F:oxidoreductase activity
true	[INTERPRO, BLASTED, ANNOTATED]	3_28	NBD18800.1	5448	1	2.43E-305	52.55	2	P:GO:0009306; C:GO:0005887	P:protein secretion; C:integral component of plasma membrane			IPR007452 (PFAM); PTHR34457 (PANTHER)	P:GO:0009306; C:GO:0005887	P:protein secretion; C:integral component of plasma membrane
true	[INTERPRO, BLASTED, ANNOTATED]	3_29	MBC6434629.1	1011	1	3.84E-124	72.7	1	C:GO:0016021	C:integral component of membrane			G3DSA:1.10.3730.20 (GENE3D); IPR000620 (PFAM); PTHR22911:SF124 (PANTHER); PTHR22911 (PANTHER); SSF103481 (SUPERFAMILY); SSF103481 (SUPERFAMILY)	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane
true	[INTERPRO, BLASTED, ANNOTATED]	3_30	NCQ97290.1	1353	1	1.63E-210	78.02	1	F:GO:0016746	F:acyltransferase activity			IPR002123 (SMART)	F:GO:0016746	F:acyltransferase activity
true	[INTERPRO, BLASTED]	3_31	NBD15368.1	696	1	6.64E-50	72.35						IPR007157 (PFAM); PTHR31088:SF6 (PANTHER); IPR007157 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO]	3_32		1209									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_33	WP_046279576.1	702	1	2.25E-149	94.42	3	P:GO:0005975; P:GO:0006098; F:GO:0004750	P:carbohydrate metabolic process; P:pentose-phosphate shunt; F:ribulose-phosphate 3-epimerase activity			IPR026019 (TIGRFAM); IPR026019 (PIRSF); IPR013785 (G3DSA:3.20.20.GENE3D); IPR000056 (PFAM); PTHR11749:SF11 (PANTHER); IPR000056 (PANTHER); IPR026019 (HAMAP); IPR000056 (CDD); IPR011060 (SUPERFAMILY)	P:GO:0005975; P:GO:0006098; F:GO:0003824; F:GO:0004750; F:GO:0016857	P:carbohydrate metabolic process; P:pentose-phosphate shunt; F:catalytic activity; F:ribulose-phosphate 3-epimerase activity; F:racemase and epimerase activity, acting on carbohydrates and derivatives
