yourlist:M20210906A084FC58F6BBA219896F365D15F2EB441956986	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
WP_015220182.1	A0A2G3P707	A0A2G3P707_9CHRO	unreviewed	Pirin family protein	CSQ80_14780	Cyanobacterium aponinum IPPAS B-1201	233		
WP_015220182.1	K9Z7T0	K9Z7T0_CYAAP	unreviewed	Pirin domain protein	Cyan10605_2375	Cyanobacterium aponinum (strain PCC 10605)	233		
WP_006635719.1	F5UPB2	F5UPB2_9CYAN	unreviewed	Glutaminase (EC 3.5.1.2)	glsA MicvaDRAFT_0150	Microcoleus vaginatus FGP-2	308	glutaminase activity [GO:0004359]; glutamine metabolic process [GO:0006541]	GO:0004359; GO:0006541
WP_002769748.1	I4G6Q4	I4G6Q4_MICAE	unreviewed	Similar to tr|Q4BUK1|Q4BUK1_CROWT Peptidase M23B	MICAC_4750007	Microcystis aeruginosa PCC 9443	200		
WP_015957390.1	B7JVC9	B7JVC9_RIPO1	unreviewed	Dioxygenase (EC 1.13.11.-)	PCC8801_4340	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	495	"metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]"	GO:0016702; GO:0046872
WP_012408115.1	A0A1E2WJ20	A0A1E2WJ20_9NOSO	unreviewed	Uncharacterized protein	A4S05_09930	Nostoc sp. KVJ20	103		
WP_012408115.1	A0A235I5W1	A0A235I5W1_9NOSO	unreviewed	Uncharacterized protein	CDG77_13340	Nostoc sp. 'Peltigera membranacea cyanobiont' 213	103		
WP_012408115.1	A0A235I7F6	A0A235I7F6_9NOSO	unreviewed	Uncharacterized protein	CDG76_18805	Nostoc sp. 'Peltigera membranacea cyanobiont' 210A	103		
WP_012408115.1	A0A235IWU6	A0A235IWU6_9NOSO	unreviewed	Uncharacterized protein	CDG79_23485	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	103		
WP_012408115.1	A0A2D0HLS9	A0A2D0HLS9_9NOSO	unreviewed	Uncharacterized protein	CK516_08315	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	103		
