"","id","description","length","eValue","bitscore","simMean","GO_IDs","GO_terms","gene_id","gene_name","KO"
"1","1_1","NER33884.1",155,2.83e-91,273,89.03,"GO:0004364;GO:0006749","glutathione transferase activity;glutathione metabolic process","K07393","glutathionyl-hydroquinone reductase [EC:1.8.5.7]","K07393"
"2","1_2","MBD0268054.1",289,1.8e-115,339,75.78,"GO:0006355;GO:0003700","regulation of transcription, DNA-templated; DNA-binding transcription factor activity","K18900","LysR family transcriptional regulator, regulator for bpeEF and oprC","K18900"
"3","1_4","MBW2473383.1",201,9.3e-124,352,92.54,"GO:0016491","oxidoreductase activity","K15976","putative NAD(P)H nitroreductase [EC:1.-.-.-]","K15976"
"4","1_5","MBP0000460.1",544,8.63e-88,287,53.86,"GO:0016042;GO:0003847","lipid catabolic process; 1-alkyl-2-acetylglycerophosphocholine esterase activity","K06889","uncharacterized protein","K06889"
"5","1_6","NCS39167.1",463,4.61e-154,451,69.55,"GO:0055085;GO:0016020","transmembrane transport; membrane","K05802","potassium-dependent mechanosensitive channel","K05802"
"6","1_7","WP_006635719.1",295,5.1e-95,288,70.85,"GO:0006541;GO:0004359","glutamine metabolic process; glutaminase activity;glutaminase activity","K01425","glutaminase [EC:3.5.1.2]","K01425"
"7","1_10","CUR31200.1",280,5.67e-110,328,76.79,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"8","1_13","PSO68358.1",276,1.36e-133,385,85.14,"GO:0055085;GO:0043190;GO:0016020;GO:0016021","transmembrane transport; ATP-binding cassette (ABC) transporter complex; membrane; integral component of membrane","K18233","oleandomycin transport system permease protein","K18233"
"9","1_14","WP_096549300.1",189,1.61e-81,245,80.95,"GO:0006310;GO:0000150;GO:0003677","DNA recombination; DNA strand exchange activity; DNA binding","K07450","putative resolvase","K07450"
"10","2_1","WP_205369511.1",614,3.61e-305,859,85.67,"GO:0006457;GO:0005524;GO:0016887;GO:0051082","protein folding; ATP binding; ATP hydrolysis activity; unfolded protein binding","K04043","molecular chaperone DnaK","K04043"
