"","gene_id","KO","GO.ID","GO.Term","GO.Ontology"
"1","K07393","K07393","GO:0004364","glutathione transferase activity","MF"
"2","K07393","K07393","GO:0006749","glutathione metabolic process","BP"
"3","K07393","K07393","GO:0016740","transferase activity","MF"
"4","K18900","K18900","GO:0006355","regulation of transcription, DNA-templated","BP"
"5","K18900","K18900","GO:0003700","DNA-binding transcription factor activity","MF"
"6","K15976","K15976","GO:0016491","oxidoreductase activity","MF"
"7","K06889","K06889","GO:0016042","lipid catabolic process","BP"
"8","K06889","K06889","GO:0003847","1-alkyl-2-acetylglycerophosphocholine esterase activity","MF"
"9","K06889","K06889","GO:0016787","hydrolase activity","MF"
"10","K05802","K05802","GO:0055085","transmembrane transport","BP"
"11","K05802","K05802","GO:0016020","membrane","CC"
"12","K05802","K05802","GO:0005886","plasma membrane","CC"
"13","K05802","K05802","GO:0016021","integral component of membrane","CC"
"14","K05802","K05802","GO:0035556","intracellular signal transduction","BP"
"15","K01425","K01425","GO:0006541","glutamine metabolic process","BP"
"16","K01425","K01425","GO:0004359","glutaminase activity","MF"
"17","K07494","K07494","GO:0003676","nucleic acid binding","MF"
"18","K18233","K18233","GO:0055085","transmembrane transport","BP"
"19","K18233","K18233","GO:0043190","ATP-binding cassette (ABC) transporter complex","CC"
"20","K18233","K18233","GO:0016020","membrane","CC"
"21","K18233","K18233","GO:0016021","integral component of membrane","CC"
"22","K07450","K07450","GO:0006310","DNA recombination","BP"
"23","K07450","K07450","GO:0000150","recombinase activity","MF"
"24","K07450","K07450","GO:0003677","DNA binding","MF"
"25","K07450","K07450","GO:0006355","regulation of transcription, DNA-templated","BP"
"26","K07450","K07450","GO:0015074","DNA integration","BP"
"27","K04043","K04043","GO:0006457","protein folding","BP"
"28","K04043","K04043","GO:0005524","ATP binding","MF"
"29","K04043","K04043","GO:0016887","ATPase activity","MF"
"30","K04043","K04043","GO:0051082","unfolded protein binding","MF"
"31","K03687","K03687","GO:0006457","protein folding","BP"
